city_en,city_ru,lat,lon,population,iso3,country,country_ru
Liaocheng,Ляочэн,36.4559,115.9852,5789863,CHN,China,Китай
Douala,Дуала,4.05,9.7,5768400,CMR,Cameroon,Камерун
Qujing,Куджин,25.491,103.796,5765775,CHN,China,Китай
Nangandao,Нангандао,35.3036,113.9268,5708191,CHN,China,Китай
Addis ababa,Аддис Абеба,9.03,38.74,5704000,ETH,Ethiopia,Эфиопия
Philadelphia,Филадельфия,40.0077,-75.1339,5696588,USA,United states,Соединенные Штаты
Toronto,Торонто,43.7417,-79.3733,5647656,CAN,Canada,Канада
Zhengzhou,Чжэнчжоу,34.764,113.684,5621593,CHN,China,Китай
Nanchong,Нанчонг,30.8372,106.1106,5607565,CHN,China,Китай
Jinan,Джинан,36.6702,117.0207,5606374,CHN,China,Китай
Giza,Гиза,29.987,31.2118,5598402,EGY,Egypt,Египет
Saint petersburg,Сент -петербург,59.9375,30.3086,5597763,RUS,Russia,Россия
Jieyang,Цзеян,23.551,116.3727,5577814,CHN,China,Китай
Dezhou,Дечжоу,37.436,116.359,5568235,CHN,China,Китай
Nairobi,Найроби,-1.2864,36.8172,5545000,KEN,Kenya,Кения
Guadalajara,Гвадалахара,20.6767,-103.3475,5525000,MEX,Mexico,Мексика
Tai'an,Тайан,36.202,117.087,5472217,CHN,China,Китай
Dazhou,Дачоу,31.2093,107.4678,5385422,CHN,China,Китай
Belo horizonte,Бело Горизонте,-19.9281,-43.9419,5328000,BRA,Brazil,Бразилия
Suzhou,Сучжоу,33.648,116.964,5324476,CHN,China,Китай
Monterrey,Монтеррей,25.6844,-100.3181,5324281,MEX,Mexico,Мексика
Yongzhou,Юнчжоу,26.42,111.613,5289824,CHN,China,Китай
Changde,Чанде,29.031,111.699,5279102,CHN,China,Китай
Xiangyang,Сяньян,32.01,112.122,5260951,CHN,China,Китай
Atlanta,Атланта,33.7628,-84.422,5211164,USA,United states,Соединенные Штаты
Pudong,Пудун,31.2347,121.5064,5187200,CHN,China,Китай
Washington,Вашингтон,40.7877,-74.7918,5146120,USA,United states,Соединенные Штаты
Zhaotong,Чжаотонг,27.338,103.717,5092611,CHN,China,Китай
Zhangzhou,Чжанчжоу,24.513,117.647,5054328,CHN,China,Китай
Yueyang,Юэян,29.3647,113.1309,5051922,CHN,China,Китай
Melbourne,Мельбурн,-37.8142,144.9631,5031195,AUS,Australia,Австралия
Yichun,Йичун,27.816,114.417,5007702,CHN,China,Китай
Abidjan,Абиджан,5.3364,-4.0267,4980000,CIV,Côte d’ivoire,Берег Слоновой Кости
Guilin,Гулин,25.275,110.296,4931137,CHN,China,Китай
Pingdingshan,Пингдингсхан,33.7666,113.1926,4904701,CHN,China,Китай
Alexandria,Александрия,31.1975,29.8925,4870000,EGY,Egypt,Египет
Bozhou,Бочжоу,33.8463,115.7786,4850657,CHN,China,Китай
Sydney,Сидней,-33.8667,151.2,4840600,AUS,Australia,Австралия
Barcelona,Барселона,41.3833,2.1833,4800000,ESP,Spain,Испания
Yuncheng,Юнчунг,35.0267,111.007,4774508,CHN,China,Китай
Cape town,Кейптаун,-33.9253,18.4239,4770313,ZAF,South africa,Юар
Changsha,Чанша,28.228,112.939,4766296,CHN,China,Китай
Suqian,Суциан,33.963,118.275,4719178,CHN,China,Китай
Jeddah,Джедда,21.5428,39.1728,4697000,SAU,Saudi arabia,Саудовская Аравия
Weinan,Вайнан,34.5206,109.471,4688744,CHN,China,Китай
Berlin,Берлин,52.52,13.405,4679500,DEU,Germany,Германия
Chenzhou,Ченчжоу,25.77,113.016,4667134,CHN,China,Китай
Jiangmen,Цзяньгмен,22.5789,113.0815,4630300,CHN,China,Китай
Mianyang,Мяньян,31.468,104.679,4613862,CHN,China,Китай
Jiujiang,Джиуцзян,29.661,115.954,4600276,CHN,China,Китай
Huaihua,Хуайхуа,27.5698,110.0016,4587594,CHN,China,Китай
Huanglongsi,Хуанглонгси,34.795,114.345,4564900,CHN,China,Китай
Taizhou,Тайчжоу,32.4567,119.9229,4512762,CHN,China,Китай
Belahi,Белахи,26.4,86.25,4487379,IND,India,Индия
Yibin,Йибин,28.752,104.643,4471896,CHN,China,Китай
Ji'an,Ji'an,27.0912,114.9668,4469176,CHN,China,Китай
Yangzhou,Янчжоу,32.3944,119.4128,4459760,CHN,China,Китай
Kunming,Кунмин,25.0464,102.7094,4422686,CHN,China,Китай
Changchun,Чанчун,43.897,125.326,4408154,CHN,China,Китай
Lu'an,Луан,31.736,116.52,4393699,CHN,China,Китай
Xinpu,Синпу,34.5966,119.2214,4393482,CHN,China,Китай
Langfang,Лангфанг,39.5383,116.6835,4358839,CHN,China,Китай
Boston,Бостон,42.3188,-71.0852,4355184,USA,United states,Соединенные Штаты
Urumqi,Урумки,43.8225,87.6125,4335017,CHN,China,Китай
Suzhou,Сучжоу,33.648,116.964,4330000,CHN,China,Китай
Guigang,Гвиганг,23.112,109.599,4316262,CHN,China,Китай
Shantou,Шанту,23.354,116.682,4312192,CHN,China,Китай
Jiangguanchi,Цзяньгуанчи,34.037,113.852,4307488,CHN,China,Китай
Kabul,Кабул,34.5253,69.1783,4273156,AFG,Afghanistan,Афганистан
Xiaoganzhan,Сяоганжан,30.918,113.957,4270371,CHN,China,Китай
Bamako,Бамако,12.6458,-7.9922,4227569,MLI,Mali,Мали
Kano,Кано,12.0,8.5167,4224966,NGA,Nigeria,Нигерия
Luzhou,Лучжоу,23.3686,114.5194,4218427,CHN,China,Китай
Hefei,Хефэй,31.8206,117.2273,4216940,CHN,China,Китай
Hengshui,Хенгшуй,37.739,115.669,4212933,CHN,China,Китай
Fortaleza,Форталеза,-3.7275,-38.5275,4167996,BRA,Brazil,Бразилия
Anqing,Анквин,30.5318,117.1153,4165284,CHN,China,Китай
Zhangjiakou,Чжанджиако,40.769,114.886,4118908,CHN,China,Китай
Zhaoqing,Чжаоцинг,23.05,112.4667,4113594,CHN,China,Китай
Shijiazhuang,Шидзиажхуанг,38.0425,114.51,4098243,CHN,China,Китай
Ningbo,Нинбо,29.8603,121.6245,4087523,CHN,China,Китай
Qiqihar,Цицихар,47.3549,123.9182,4067489,CHN,China,Китай
Phoenix,Феникс,33.5722,-112.0892,4065338,USA,United states,Соединенные Штаты
Liuzhou,Лючжоу,24.3278,109.4278,4041700,CHN,China,Китай
Chifeng,Чифенг,42.255,118.8825,4035967,CHN,China,Китай
Xiaoxita,Сяоксита,30.692,111.287,4017607,CHN,China,Китай
Amman,Амман,31.9497,35.9328,4007526,JOR,Jordan,Иордания
Linfen,Линфен,36.088,111.519,3976481,CHN,China,Китай
Xianyang,Сянььян,34.3299,108.7088,3959842,CHN,China,Китай
Chuzhou,Чучжоу,32.256,118.333,3937868,CHN,China,Китай
Kumasi,Кумаси,6.7,-1.625,3903480,GHA,Ghana,Гана
Zhuzhou,Чжучжоу,27.829,113.133,3902738,CHN,China,Китай
Taiyuan,Тайюань,37.8704,112.5497,3875053,CHN,China,Китай
Qingyuan,Цинюань,23.682,113.056,3874000,CHN,China,Китай
Meizhou,Мейчжоу,24.289,116.122,3873239,CHN,China,Китай
Yiyang,Иян,28.5549,112.356,3851564,CHN,China,Китай
Nanning,Нэннинг,22.8167,108.3275,3837978,CHN,China,Китай
Harbin,Харбин,45.7576,126.6409,3830000,CHN,China,Китай
Loudi,Лоуди,27.6998,111.9944,3826996,CHN,China,Китай
Abuja,Абуджа,9.0667,7.4833,3770000,NGA,Nigeria,Нигерия
Yokohama,Йокогама,35.4442,139.6381,3757630,JPN,Japan,Япония
Suihua,Суихуа,46.654,126.969,3756167,CHN,China,Китай
Binzhou,Бинчжоу,37.383,117.971,3748474,CHN,China,Китай
Zaozhuang,Заучжуан,34.8109,117.3238,3729140,CHN,China,Китай
Detroit,Детройт,42.3834,-83.1024,3716929,USA,United states,Соединенные Штаты
Xiamen,Сити Сямен,24.4796,118.0889,3707090,CHN,China,Китай
Mashhad,Машхад,36.3264,59.5433,3700000,IRN,Iran,Иран
Montreal,Монреаль,45.5089,-73.5617,3675219,CAN,Canada,Канада
Fuzhou,Фучжоу,26.0743,119.2964,3671192,CHN,China,Китай
Wuhu,Уху,31.3526,118.4331,3644420,CHN,China,Китай
Medan,Медан,3.5894,98.6739,3632000,IDN,Indonesia,Индонезия
Yulinshi,Юлинши,38.2858,109.7341,3624750,CHN,China,Китай
Fuzhou,Фучжоу,26.0743,119.2964,3614866,CHN,China,Китай
Wenzhou,Вэньчжоу,27.9938,120.6993,3604446,CHN,China,Китай
Changzhou,Чанчжоу,31.811,119.974,3601079,CHN,China,Китай
Puyang,Пуян,35.7627,115.0292,3598740,CHN,China,Китай
Nanchang,Нанчанг,28.683,115.858,3576547,CHN,China,Китай
Baicheng,Байченг,23.903,106.619,3571505,CHN,China,Китай
Seattle,Сиэтл,47.6211,-122.3244,3555253,USA,United states,Соединенные Штаты
Ibadan,Ибадан,7.3964,3.9167,3552000,NGA,Nigeria,Нигерия
Jiaozuo,Цзиозуо,35.2157,113.2419,3521078,CHN,China,Китай
Nadampalaiyam,Надампалайям,11.0125,76.9714,3458045,IND,India,Индия
Deyang,Дейанг,31.127,104.398,3456161,CHN,China,Китай
Busan,Пусан,35.18,129.075,3453198,KOR,"Korea, south","Корея, Юг"
Hechi,Хечи,24.693,108.085,3417945,CHN,China,Китай
Tangshan,Таншан,39.6294,118.1739,3399231,CHN,China,Китай
Lucknow,Лакхнау,26.85,80.95,3382000,IND,India,Индия
San francisco,Сан -франциско,37.7558,-122.4449,3364862,USA,United states,Соединенные Штаты
Boankra,Бонкра,6.6919,-1.4051,3348000,GHA,Ghana,Гана
Dubai,Дубай,25.2631,55.2972,3331420,ARE,United arab emirates,Объединенные Арабские Эмираты
Anshan,Аншан,41.108,122.994,3325372,CHN,China,Китай
Baojishi,Баоджиши,34.363,107.238,3321853,CHN,China,Китай
Guozhen,Гожен,34.3609,107.1751,3321853,CHN,China,Китай
Qinzhou,Цинчжоу,21.981,108.654,3302238,CHN,China,Китай
Guiyang,Гиян,26.647,106.63,3299724,CHN,China,Китай
Wuxi,Вуси,31.5667,120.2833,3245179,CHN,China,Китай
Kannankulam,Каннанкулам,10.52,76.21,3243170,IND,India,Индия
Caracas,Каракас,10.4806,-66.9036,3242000,VEN,Venezuela,Венесуэла
Kotla qasim khan,Котла Касим Хан,32.5833,73.75,3219375,PAK,Pakistan,Пакистан
Casablanca,Касабланка,33.5333,-7.5833,3215935,MAR,Morocco,Марокко
Hanzhong,Ханчхон,33.0664,107.0232,3211462,CHN,China,Китай
Shiyan,Шиян,32.629,110.7987,3209004,CHN,China,Китай
Guang'an,Гуанган,30.4564,106.6326,3205476,CHN,China,Китай
Faisalabad,Фейсалабад,31.4167,73.0911,3203846,PAK,Pakistan,Пакистан
Changzhi,Чанчжи,36.195,113.117,3180884,CHN,China,Китай
Tongren,Тонгрен,27.7316,109.1895,3168800,CHN,China,Китай
Bengbu,Бенгбу,32.917,117.389,3164467,CHN,China,Китай
Leshan,Лешан,29.552,103.766,3160168,CHN,China,Китай
Santa cruz de la sierra,Санта -крус Де Ла Сьерра,-17.7892,-63.1975,3151676,BOL,Bolivia,Боливия
Neijiang,Нейцзян,29.5802,105.058,3140678,CHN,China,Китай
Zhenjiang,Чжэньцзян,32.188,119.424,3113384,CHN,China,Китай
Qinhuangdao,Цинхаандао,39.8882,119.5202,3107400,CHN,China,Китай
Bursa,Городская Бурса,40.1833,29.05,3101833,TUR,Turkey,Турция
Tashkent,Ташкент,41.3111,69.2797,3095498,UZB,Uzbekistan,Узбекистан
Guayaquil,Гуаякил,-2.19,-79.8875,3094420,ECU,Ecuador,Эквадор
Jaipur,Джайпур,23.4313,86.1493,3073350,IND,India,Индия
Lanzhou,Ланчжоу,36.0606,103.8268,3067141,CHN,China,Китай
Ouagadougou,Уагадугу,12.3686,-1.5275,3063271,BFA,Burkina faso,Буркина Фасо
Athens,Городские Афины,37.9842,23.7281,3059764,GRC,Greece,Греция
San diego,Сан -диего,32.8313,-117.1222,3057778,USA,United states,Соединенные Штаты
Guatemala city,Гватемала,14.6417,-90.5133,3014000,GTM,Guatemala,Гватемала
Kuwait city,Кувейт Сити,29.3697,47.9783,2989000,KWT,Kuwait,Кувейт
Qincheng,Цинчэн,34.5815,105.7248,2984659,CHN,China,Китай
Izmir,Измир,38.42,27.14,2965900,TUR,Turkey,Турция
Quezon city,Кесон Сити,14.65,121.0475,2960048,PHL,Philippines,Филиппины
Kyiv,Кив,50.45,30.5233,2952301,UKR,Ukraine,Украина
Kottarassheri,Коттарассшери,10.775,76.651,2952254,IND,India,Индия
Meishan,Мейшан,30.0771,103.8484,2950545,CHN,China,Китай
Incheon,Инчхон,37.4833,126.6333,2936117,KOR,"Korea, south","Корея, Юг"
Ningde,Нинде,26.6662,119.5477,2910000,CHN,China,Китай
Zhongshan,Чжуншан,22.517,113.3925,2909633,CHN,China,Китай
Minneapolis,Миннеаполис,44.9635,-93.2678,2906807,USA,United states,Соединенные Штаты
Tampa,Тампа,27.9945,-82.4447,2906035,USA,United states,Соединенные Штаты
Putian,Путан,25.4526,119.0078,2900000,CHN,China,Китай
Mbuji-mayi,Мбуджи-майи,-6.15,23.6,2892000,COD,Congo (kinshasa),Конго (киншаса)
Tongliao,Тонглиао,43.654,122.243,2873168,CHN,China,Китай
Chaoyang,Чаоян,41.571,120.453,2872857,CHN,China,Китай
Hohhot,Хоххот,40.842,111.749,2866615,CHN,China,Китай
Pyongyang,Пхеньян,39.0167,125.7475,2863000,PRK,"Korea, north","Корея, Север"
Shaoguan,Шаогуан,24.811,113.597,2855131,CHN,China,Китай
Taichung,Тайчунг,24.1439,120.6794,2850285,TWN,Taiwan,Тайвань
Cali,Кали,3.4206,-76.5222,2838333,COL,Colombia,Колумбия
Heyuan,Хейуан,23.7443,114.7002,2837686,CHN,China,Китай
Wuzhou,Учжоу,23.4767,111.279,2820977,CHN,China,Китай
Pretoria,Претория,-25.7461,28.1881,2818100,ZAF,South africa,Юар
Suining,Городской Пособие,30.533,105.593,2814196,CHN,China,Китай
Omdurman,Омдурман,15.6835,32.4629,2805396,SDN,Sudan,Судан
Weihai,Вейхай,37.5133,122.1205,2804771,CHN,China,Китай
Rizhao,Ричао,35.417,119.527,2801013,CHN,China,Китай
Malang,Маланг,-7.98,112.62,2795209,IDN,Indonesia,Индонезия
Stuttgart,Штутгарт,48.7775,9.18,2787724,DEU,Germany,Германия
Daqing,Дакин,46.589,125.104,2781562,CHN,China,Китай
Rome,Рим,41.8931,12.4828,2748109,ITA,Italy,Италия
Kaohsiung,Каосюнг,22.615,120.2975,2737660,TWN,Taiwan,Тайвань
Brooklyn,Бруклин,41.4349,-81.7497,2736074,USA,United states,Соединенные Штаты
Xiangtan,Сянгтан,27.8313,112.9454,2726181,CHN,China,Китай
Bazhou,Бажшоу,36.2137,102.7618,2712894,CHN,China,Китай
Handan,Хандан,36.601,114.487,2708015,CHN,China,Китай
Brisbane,Брисбен,-27.4678,153.0281,2706966,AUS,Australia,Австралия
Jinzhou,Джинчжоу,41.129,121.148,2703853,CHN,China,Китай
Denver,Денвер,39.762,-104.8758,2691349,USA,United states,Соединенные Штаты
Xinzhou,Синьчжоу,38.416,112.734,2689668,CHN,China,Китай
Nanping,Нэнпинг,26.6418,118.1774,2680645,CHN,China,Китай
Gazipura,Газипура,23.9234,90.3959,2674697,BGD,Bangladesh,Бангладеш
Shanwei,Шанвай,22.7872,115.3756,2672819,CHN,China,Китай
Maracaibo,Маракайбо,10.6333,-71.6333,2658355,VEN,Venezuela,Венесуэла
Chaozhou,Чаочжоу,23.658,116.622,2656600,CHN,China,Китай
Baotou,Баоту,40.6213,109.9532,2650364,CHN,China,Китай
Longyan,Лонгян,25.076,117.017,2640000,CHN,China,Китай
Weifang,Вайфанг,36.708,119.162,2636154,CHN,China,Китай
Huai'an,Хуайан,33.551,119.113,2632788,CHN,China,Китай
Zibo,Зибо,36.8138,118.055,2631647,CHN,China,Китай
Attadappa,Аттадаппа,11.8689,75.3555,2615266,IND,India,Индия
Munich,Мюнхен,48.1375,11.575,2606021,DEU,Germany,Германия
Gulou,Гулу,26.0865,119.298,2606000,CHN,China,Китай
Birmingham,Бирмингем,52.48,-1.9025,2590363,GBR,United kingdom,Великобритания
Valencia,Сити Валенсия,10.1833,-68.0,2585202,VEN,Venezuela,Венесуэла
Damascus,Дамаск,33.502,36.2981,2584771,SYR,Syria,Сирия
Chattogram,Городская Чаттограмма,22.335,91.8325,2581643,BGD,Bangladesh,Бангладеш
Brazzaville,Брамзавиль,-4.2667,15.2667,2557100,COG,Congo (brazzaville),Конго (брамзавиль)
Yangjiang,Янцзян,21.857,111.983,2555600,CHN,China,Китай
Sanaa,Сана,15.3483,44.2064,2545000,YEM,Yemen,Йемен
Barmhan kalan,Бармхан Калан,19.1972,72.9722,2537000,IND,India,Индия
Medellin,Медельин,6.2308,-75.5906,2529403,COL,Colombia,Колумбия
Dingxi,Динси,35.608,104.592,2524097,CHN,China,Китай
Shaoxing,Шакссинг,30.0511,120.5833,2521964,CHN,China,Китай
Yantai,Янтай,37.4646,121.4478,2511053,CHN,China,Китай
Huizhou,Хуачжоу,23.112,114.416,2509243,CHN,China,Китай
Xuanzhou,Сюаньчжоу,30.939,118.759,2500063,CHN,China,Китай
Mirzapur,Мирзапур,25.146,82.569,2496970,IND,India,Индия
Hamburg,Гамбург,53.55,10.0,2496600,DEU,Germany,Германия
Taipei,Тайбэй,25.0375,121.5625,2494813,TWN,Taiwan,Тайвань
Ankang,Анканг,32.6854,109.029,2493436,CHN,China,Китай
Zigong,Зигонг,29.339,104.779,2489256,CHN,China,Китай
Sanming,Сити Санминг,26.2634,117.6389,2486450,CHN,China,Китай
Toluca,Толука,19.2925,-99.6569,2476689,MEX,Mexico,Мексика
Huangshi,Хуанши,30.2011,115.039,2469079,CHN,China,Китай
Yaounde,Яунде,3.8667,11.5167,2440462,CMR,Cameroon,Камерун
Zhuhai,Чжухай,22.2742,113.5719,2439585,CHN,China,Китай
Huludao,Хулудао,40.711,120.837,2434194,CHN,China,Китай
Baoshan,Баошан,25.112,99.161,2431211,CHN,China,Китай
Mecca,Городская Мекка,21.4225,39.8261,2427924,SAU,Saudi arabia,Саудовская Аравия
Vancouver,Ванкувер,49.25,-123.1,2426160,CAN,Canada,Канада
Lianshan,Лианшан,40.7523,120.828,2426000,CHN,China,Китай
Beirut,Бейрут,33.8981,35.5058,2421354,LBN,Lebanon,Ливан
Salvador,Сальвадор,-12.9831,-38.4928,2417678,BRA,Brazil,Бразилия
Bucharest,Бухарест,44.4325,26.1039,2412530,ROU,Romania,Румыния
Longba,Лонгба,33.3702,104.9603,2407272,CHN,China,Китай
Nagpur,Нагпур,21.1497,79.0806,2405665,IND,India,Индия
Queens,Городские Королевы,40.7498,-73.7976,2405464,USA,United states,Соединенные Штаты
Tieling,Городский Тилин,42.2237,123.726,2388294,CHN,China,Китай
Yunfu,Юнфу,22.9152,112.0445,2383350,CHN,China,Китай
Bekasi,Бекаси,-6.2333,107.0,2381053,IDN,Indonesia,Индонезия
Daegu,Дэгу,35.8717,128.6017,2376044,KOR,"Korea, south","Корея, Юг"
Ghaziabad,Газиабад,28.67,77.42,2375820,IND,India,Индия
Luoyang,Луоян,34.6197,112.4539,2372571,CHN,China,Китай
Luohe,Луохе,33.5804,114.0166,2367490,CHN,China,Китай
Algiers,Городской Алжир,36.7325,3.0872,2364230,DZA,Algeria,Алжир
Anshun,Аншун,26.2531,105.9476,2353100,CHN,China,Китай
Huainan,Хуайнан,32.6314,117.0194,2333896,CHN,China,Китай
Depok,City Depok,-6.394,106.8225,2330333,IDN,Indonesia,Индонезия
Konya,Коня,37.8667,32.4833,2320241,TUR,Turkey,Турция
Haiphong,Хайфхонг,20.8651,106.6838,2310280,VNM,Vietnam,Вьетнам
Yanjiang,Янджанг,30.129,104.627,2308631,CHN,China,Китай
Guangyuan,Гуангуан,32.436,105.844,2305657,CHN,China,Китай
Baku,Баку,40.3667,49.8352,2300500,AZE,Azerbaijan,Азербайджан
Yingkou,Йинку,40.625,122.219,2296540,CHN,China,Китай
Mudanjiang,Муданджан,44.5514,129.6329,2290208,CHN,China,Китай
Riverside,-риверсайд,39.7835,-84.1219,2288508,USA,United states,Соединенные Штаты
Fukuoka,Фукуока,33.59,130.4017,2286000,JPN,Japan,Япония
Nantong,Нантонг,31.981,120.894,2261382,CHN,China,Китай
